
770.4;0;672;98.4;0;0
778.1;0;672;106.1;0;0
780;0;0;780;0;0
785;0;0;785;0;0
788.4;0;636;152.4;0;0
795;0;795;0;0;0
812.4;0;660;152.4;0;0
825;0;825;0;0;0
826.8;0;660;166.8;0;0
840;0;510;0;330;0
853.2;0;672;181.2;0;0
860;0;860;0;0;0
875.5;0;672;203.5;0;0
876.1;0;636;240.1;0;0
880;0;550;0;330;0
900;0;550;0;350;0
910;0;560;0;350;0
912;0;795;117;0;0
928.18;0;578.18;0;350;0
930;0;550;0;380;0
936;0;0;936;0;0
937.04;0;530;77.04;330;0
937.08;0;530;77.08;330;0
938;0;530;78;330;0
940;0;560;0;380;0
946;0;550;46;350;0
948.4;0;530;88.4;330;0
950;0;0;0;950;0
954.4;0;550;74.4;330;0
955;0;550;75;330;0
958;0;530;78;350;0
962;0;550;82;330;0
964;0;530;104;330;0
966;0;636;0;330;0
968;0;550;38;380;0
968.42;0;530;88.42;350;0
975;0;550;75;350;0
976;0;550;46;380;0
978;0;660;90;228;0
978.18;0;578.18;0;400;0
982;0;550;82;350;0
984;0;0;984;0;0
986;0;636;0;350;0
987.17;0;530;127.17;330;0
980;0;550;100;330;0
988;0;560;78;350;0
990;0;0;0;990;0
992;0;560;82;350;0
998.4;0;550;98.4;350;0
998.42;0;560;88.42;350;0
1000;0;1000;0;0;0
1002.6;0;530;142.6;330;0
1003.55;0;530;143.55;330;0
1003.6;0;530;143.6;330;0
1005;0;550;75;380;0
1007;0;550;127;330;0
1008.57;0;550;78.57;380;0
1008.58;0;550;78.58;380;0
1010;0;660;0;350;0
1013.71;0;530;133.71;350;0
1013.74;0;530;133.74;350;0
1016.00;0;550;116;350;0
1018;0;560;78;380;0
1020.57;0;550;140.57;330;0
1022;0;560;82;380;0
1027;0;550;127;350;0
1028.40;0;560;88.4;380;0
1028.42;0;560;88.42;380;0
1037.17;0;560;127.17;350;0
1039;0;550;139;350;0
1040;0;660;0;380;0
1040.57;0;550;140.57;350;0
1042.28;0;795;247.28;0;0
1046.00;0;550;116;380;0
1052;0;672;0;380;0
1057;0;550;127;380;0
1059.6;0;636;93.6;330;0
1059.83;0;660;49.83;350;0
1059.87;0;660;49.87;350;0
1060;0;1060;0;0;0
1061;0;560;151;350;0
1065.2;0;660;55.2;350;0
1067.17;0;560;127.17;380;0
1069;0;550;139;380;0
1076;0;636;90;350;0
1079.58;0;560;169.58;350;0
1080;0;0;1080;0;0
1091;0;560;151;380;0
1095.2;0;660;55.2;380;0
1100;0;1100;0;0;0
1106;0;636;90;380;0
1109.58;0;560;169.58;380;0
1120.4;0;672;98.4;350;0
1125;0;795;0;330;0
1128.1;0;672;106.1;350;0
1138.4;0;636;152.4;350;0
1150.4;0;672;98.4;380;0
1158.1;0;672;106.1;380;0
1160;0;1160;0;0;0
1162.4;0;660;152.4;350;0
1168.4;0;636;152.4;380;0
1176.8;0;660;166.8;350;0
1203.2;0;672;181.2;350;0
1206.1;0;636;240.1;330;0
1206.6;0;636;240.6;330;0
1206.7;0;636;240.7;330;0
1206.8;0;660;166.8;380;0
1216;0;1216;0;0;0
1225.5;0;672;203.5;350;0
1226;0;0;1226;0;0
1233.2;0;672;181.2;380;0
1242;0;795;117;330;0
1250;0;314;936;0;0
1255.5;0;672;203.5;380;0
1320;0;0;0;1320;0
1350;0;0;1350;0;0
1360;0;1360;0;0;0
1372.28;0;795;247.28;330;0
1372.3;0;795;247.3;330;0
1372.32;0;795;247.32;330;0
1448.10;0;660;152.4;350;285.7
1500;0;0;0;1500;0
1524;0;0;0;0;1524
1526;0;0;1526;0;0
1550;0;1550;0;0;0
1567.5;0;0;0;1567.5;0
1590;0;1590;0;0;0
1600;0;0;0;0;1600
1650;0;0;0;1650;0
1750;0;1750;0;0;0
1890;300;1590;0;0;0
1980;0;0;0;1980;0
2000;0;2000;0;0;0
2100;0;2100;0;0;0
2120;0;2120;0;0;0
2128;0;2128;0;0;0
2200;0;2200;0;0;0
2240;0;2240;0;0;0
2360;0;2360;0;0;0
2384;0;2384;0;0;0
2750;0;2750;0;0;0
2939.32;0;2200;389.32;350;0
3000;0;3000;0;0;0
3148;0;3148;0;0;0
3180;0;3180;0;0;0
3300;0;3300;0;0;0
3500;0;3500;0;0;0
4000;0;4000;0;0;0
4300;0;4300;0;0;0
4360;0;4360;0;0;0
4500;0;4500;0;0;0
4760;0;4760;0;0;0
4778;0;3360;468;950;0
5000;0;5000;0;0;0
5300;0;5300;0;0;0
5500;0;5500;0;0;0
5460;0;5460;0;0;0
5724;0;5724;0;0;0
5830;0;5830;0;0;0
